Funēćo;Valor
FCE 1.17/ 2.17;16765,9
FCE 1.16/ 2.16/ 3.16;14045,67
FCE 1.15/ 2.15/ 3.15;12196,47
FCE 1.14/ 2.14/ 3.14;10432,37
FCE 1.13/ 2.13/ 3.13/ 4.13;8651,81
FCE 1.12/ 2.12/ 3.12/ 4.12;6513,87
FCE 1.11/ 2.11/ 3.11/ 4.11;5193,87
FCE 1.10/ 2.10/ 3.10/ 4.10;4455,87
FCE 1.09/ 2.09/ 3.09/ 4.09;3498,47
FCE 1.08/ 2.08/ 3.08/ 4.08;3356,01
FCE 1.07/ 2.07/ 3.07/ 4.07;2908,64
FCE 1.06/ 2.06/ 3.06/ 4.06;2463
FCE 1.05/ 2.05/ 3.05/ 4.05;2099,09
FCE 1.04/ 2.04/ 3.04/ 4.04;1553,73
FCE 1.03/ 2.03/ 3.03/ 4.03;1294,43
FCE 1.02/ 2.02/ 3.02/ 4.02;723,98
FCE 1.01/ 2.01/ 3.01/ 4.01;428,38
GSISTE Superior MinC;4544,26
GSISTE Intermediįrio MinC;2908,54
GSISTE Auxiliar MinC;800
GSISTE Superior Vinculadas;4089,7
GSISTE Intermediįrio Vinculadas;2618,55
GSISTE Auxiliar Vinculadas;720
